protocol,port,description
TCP,73,Remote Job Service
UDP,73,Remote Job Service
TCP,74,Remote Job Service
UDP,74,Remote Job Service
TCP,75,any private dial out service
UDP,75,any private dial out service
TCP,76,Distributed External Object Store
UDP,76,Distributed External Object Store
TCP,77,any private RJE service
UDP,77,any private RJE service
TCP,78,vettcp
UDP,78,vettcp
TCP,79,Finger
UDP,79,Finger
TCP,80,World Wide Web HTTP
UDP,80,World Wide Web HTTP
SCTP,80,HTTP
TCP,82,XFER Utility
UDP,82,XFER Utility
TCP,83,MIT ML Device
UDP,83,MIT ML Device
TCP,84,Common Trace Facility
UDP,84,Common Trace Facility
TCP,85,MIT ML Device
UDP,85,MIT ML Device
TCP,86,Micro Focus Cobol
UDP,86,Micro Focus Cobol
TCP,87,any private terminal link
UDP,87,any private terminal link
TCP,88,Kerberos
UDP,88,Kerberos
TCP,89,SU/MIT Telnet Gateway
UDP,89,SU/MIT Telnet Gateway
TCP,90,DNSIX Securit Attribute Token Map
UDP,90,DNSIX Securit Attribute Token Map
TCP,91,MIT Dover Spooler
UDP,91,MIT Dover Spooler
TCP,92,Network Printing Protocol
UDP,92,Network Printing Protocol
TCP,93,Device Control Protocol
UDP,93,Device Control Protocol
TCP,94,Tivoli Object Dispatcher
UDP,94,Tivoli Object Dispatcher
TCP,95,SUPDUP
UDP,95,SUPDUP
TCP,96,DIXIE Protocol Specification
UDP,96,DIXIE Protocol Specification
TCP,97,Swift Remote Virtural File Protocol
UDP,97,Swift Remote Virtural File Protocol
TCP,98,TAC News
UDP,98,TAC News
TCP,99,Metagram Relay
UDP,99,Metagram Relay
TCP,101,NIC Host Name Server
UDP,101,NIC Host Name Server
TCP,102,ISO-TSAP Class 0
UDP,102,ISO-TSAP Class 0
TCP,103,Genesis Point-to-Point Trans Net
UDP,103,Genesis Point-to-Point Trans Net
TCP,104,ACR-NEMA Digital Imag. & Comm. 300
UDP,104,ACR-NEMA Digital Imag. & Comm. 300
TCP,105,Mailbox Name Nameserver
UDP,105,Mailbox Name Nameserver
TCP,106,3COM-TSMUX
UDP,106,3COM-TSMUX
TCP,107,Remote Telnet Service
UDP,107,Remote Telnet Service
TCP,108,SNA Gateway Access Server
UDP,108,SNA Gateway Access Server
TCP,109,Post Office Protocol - Version 2
UDP,109,Post Office Protocol - Version 2
TCP,110,Post Office Protocol - Version 3
UDP,110,Post Office Protocol - Version 3
TCP,111,SUN Remote Procedure Call
UDP,111,SUN Remote Procedure Call
TCP,112,McIDAS Data Transmission Protocol
UDP,112,McIDAS Data Transmission Protocol
TCP,113,Authentication Service
UDP,113,Authentication Service
TCP,115,Simple File Transfer Protocol
UDP,115,Simple File Transfer Protocol
TCP,116,ANSA REX Notify
UDP,116,ANSA REX Notify
TCP,117,UUCP Path Service
UDP,117,UUCP Path Service
TCP,118,SQL Services
UDP,118,SQL Services
TCP,119,Network News Transfer Protocol
UDP,119,Network News Transfer Protocol
TCP,120,CFDPTKT
UDP,120,CFDPTKT
TCP,121,Encore Expedited Remote Pro.Call
UDP,121,Encore Expedited Remote Pro.Call
TCP,122,SMAKYNET
UDP,122,SMAKYNET
TCP,123,Network Time Protocol
UDP,123,Network Time Protocol
TCP,124,ANSA REX Trader
UDP,124,ANSA REX Trader
TCP,125,Locus PC-Interface Net Map Ser
UDP,125,Locus PC-Interface Net Map Ser
TCP,126,NXEdit
UDP,126,NXEdit
TCP,127,Locus PC-Interface Conn Server
UDP,127,Locus PC-Interface Conn Server
TCP,128,GSS X License Verification
UDP,128,GSS X License Verification
TCP,129,Password Generator Protocol
UDP,129,Password Generator Protocol
TCP,130,cisco FNATIVE
UDP,130,cisco FNATIVE
TCP,131,cisco TNATIVE
UDP,131,cisco TNATIVE
TCP,132,cisco SYSMAINT
UDP,132,cisco SYSMAINT
TCP,133,Statistics Service
UDP,133,Statistics Service
TCP,134,INGRES-NET Service
UDP,134,INGRES-NET Service
TCP,135,DCE endpoint resolution
UDP,135,DCE endpoint resolution
TCP,136,PROFILE Naming System
UDP,136,PROFILE Naming System
TCP,137,NETBIOS Name Service
UDP,137,NETBIOS Name Service
TCP,138,NETBIOS Datagram Service
UDP,138,NETBIOS Datagram Service
TCP,139,NETBIOS Session Service
UDP,139,NETBIOS Session Service
TCP,140,EMFIS Data Service
UDP,140,EMFIS Data Service
TCP,141,EMFIS Control Service
UDP,141,EMFIS Control Service
TCP,142,Britton-Lee IDM
UDP,142,Britton-Lee IDM
TCP,143,Internet Message Access Protocol
UDP,143,Reserved
TCP,144,Universal Manag/home/becmachlean/Education/IIT HYD/sem 5/CN/Cn project/Final/virt.pyement Architecture
UDP,144,Universal Management Architecture
TCP,145,UAAC Protocol
UDP,145,UAAC Protocol
TCP,146,ISO-IP0
UDP,146,ISO-IP0
TCP,147,ISO-IP
UDP,147,ISO-IP
TCP,148,Jargon
UDP,148,Jargon
TCP,149,AED 512 Emulation Service
UDP,149,AED 512 Emulation Service
TCP,150,SQL-NET
UDP,150,SQL-NET
TCP,151,HEMS
UDP,151,HEMS
TCP,152,Background File Transfer Program
UDP,152,Background File Transfer Program
TCP,153,SGMP
UDP,153,SGMP
TCP,154,NETSC
UDP,154,NETSC
TCP,155,NETSC
UDP,155,NETSC
TCP,156,SQL Service
UDP,156,SQL Service
TCP,157,KNET/VM Command/Message Protocol
UDP,157,KNET/VM Command/Message Protocol
TCP,158,PCMail Server
UDP,158,PCMail Server
TCP,159,NSS-Routing
UDP,159,NSS-Routing
TCP,160,SGMP-TRAPS
UDP,160,SGMP-TRAPS
TCP,161,SNMP
UDP,161,SNMP
TCP,162,SNMPTRAP
UDP,162,SNMPTRAP
TCP,163,CMIP/TCP Manager
UDP,163,CMIP/TCP Manager
TCP,164,CMIP/TCP Agent
UDP,164,CMIP/TCP Agent
TCP,165,Xerox
UDP,165,Xerox
TCP,166,Sirius Systems
UDP,166,Sirius Systems
TCP,167,NAMP
UDP,167,NAMP
TCP,168,RSVD
UDP,168,RSVD
TCP,169,SEND
UDP,169,SEND
TCP,170,Network PostScript
UDP,170,Network PostScript
TCP,171,Network Innovations Multiplex
UDP,171,Network Innovations Multiplex
TCP,172,Network Innovations CL/1
UDP,172,Network Innovations CL/1
TCP,173,Xyplex
UDP,173,Xyplex
TCP,174,MAILQ
UDP,174,MAILQ
TCP,175,VMNET
UDP,175,VMNET
TCP,176,GENRAD-MUX
UDP,176,GENRAD-MUX
TCP,177,X Display Manager Control Protocol
UDP,177,X Display Manager Control Protocol
TCP,178,NextStep Window Server
UDP,178,NextStep Window Server
TCP,179,Border Gateway Protocol
UDP,179,Border Gateway Protocol
SCTP,179,BGP
TCP,180,Intergraph
UDP,180,Intergraph
TCP,181,Unify
UDP,181,Unify
TCP,182,Unisys Audit SITP
UDP,182,Unisys Audit SITP
TCP,183,OCBinder
UDP,183,OCBinder
TCP,184,OCServer
UDP,184,OCServer
TCP,185,Remote-KIS
UDP,185,Remote-KIS
TCP,186,KIS Protocol
UDP,186,KIS Protocol
TCP,187,Application Communication Interface
UDP,187,Application Communication Interface
TCP,188,Plus Five's MUMPS
UDP,188,Plus Five's MUMPS
TCP,189,Queued File Transport
UDP,189,Queued File Transport
TCP,190,Gateway Access Control Protocol
UDP,190,Gateway Access Control Protocol
TCP,191,Prospero Directory Service
UDP,191,Prospero Directory Service
TCP,192,OSU Network Monitoring System
UDP,192,OSU Network Monitoring System
TCP,193,Spider Remote Monitoring Protocol
UDP,193,Spider Remote Monitoring Protocol
TCP,194,Internet Relay Chat Protocol
UDP,194,Internet Relay Chat Protocol
TCP,195,DNSIX Network Level Module Audit
UDP,195,DNSIX Network Level Module Audit
TCP,196,DNSIX Session Mgt Module Audit Redir
UDP,196,DNSIX Session Mgt Module Audit Redir
TCP,197,Directory Location Service
UDP,197,Directory Location Service
TCP,198,Directory Location Service Monitor
UDP,198,Directory Location Service Monitor
TCP,199,SMUX
UDP,199,SMUX
TCP,200,IBM System Resource Controller
UDP,200,IBM System Resource Controller
TCP,201,AppleTalk Routing Maintenance
UDP,201,AppleTalk Routing Maintenance
TCP,202,AppleTalk Name Binding
UDP,202,AppleTalk Name Binding
TCP,203,AppleTalk Unused
UDP,203,AppleTalk Unused
TCP,204,AppleTalk Echo
UDP,204,AppleTalk Echo
TCP,205,AppleTalk Unused
UDP,205,AppleTalk Unused
TCP,206,AppleTalk Zone Information
UDP,206,AppleTalk Zone Information
TCP,207,AppleTalk Unused
UDP,207,AppleTalk Unused
TCP,208,AppleTalk Unused
UDP,208,AppleTalk Unused
TCP,209,The Quick Mail Transfer Protocol
UDP,209,The Quick Mail Transfer Protocol
TCP,210,ANSI Z39.50
UDP,210,ANSI Z39.50
TCP,211,Texas Instruments 914C/G Terminal
UDP,211,Texas Instruments 914C/G Terminal
TCP,212,ATEXSSTR
UDP,212,ATEXSSTR
TCP,213,IPX
UDP,213,IPX
TCP,214,VM PWSCS
UDP,214,VM PWSCS
TCP,215,Insignia Solutions
UDP,215,Insignia Solutions
TCP,216,Computer Associates Int'l License Server
UDP,216,Computer Associates Int'l License Server
TCP,217,dBASE Unix
UDP,217,dBASE Unix
TCP,218,Netix Message Posting Protocol
UDP,218,Netix Message Posting Protocol
TCP,219,Unisys ARPs
UDP,219,Unisys ARPs
TCP,220,Interactive Mail Access Protocol v3
UDP,220,Interactive Mail Access Protocol v3
TCP,221,Berkeley rlogind with SPX auth
UDP,221,Berkeley rlogind with SPX auth
TCP,222,Berkeley rshd with SPX auth
UDP,222,Berkeley rshd with SPX auth
TCP,223,Certificate Distribution Center
UDP,223,Certificate Distribution Center
TCP,224,masqdialer
UDP,224,masqdialer
TCP,242,Direct
UDP,242,Direct
TCP,243,Survey Measurement
UDP,243,Survey Measurement
TCP,244,inbusiness
UDP,244,inbusiness
TCP,245,LINK
UDP,245,LINK
TCP,246,Display Systems Protocol
UDP,246,Display Systems Protocol
TCP,247,SUBNTBCST_TFTP
UDP,247,SUBNTBCST_TFTP
TCP,248,bhfhs
UDP,248,bhfhs
TCP,256,RAP
UDP,256,RAP
TCP,257,Secure Electronic Transaction
UDP,257,Secure Electronic Transaction
TCP,259,Efficient Short Remote Operations
UDP,259,Efficient Short Remote Operations
TCP,260,Openport
UDP,260,Openport
TCP,261,IIOP Name Service over TLS/SSL
UDP,261,IIOP Name Service over TLS/SSL
TCP,262,Arcisdms
UDP,262,Arcisdms
TCP,263,HDAP
UDP,263,HDAP
TCP,264,BGMP
UDP,264,BGMP
TCP,265,X-Bone CTL
UDP,265,X-Bone CTL
TCP,266,SCSI on ST
UDP,266,SCSI on ST
TCP,267,Tobit David Service Layer
UDP,267,Tobit David Service Layer
TCP,268,Tobit David Replica
UDP,268,Tobit David Replica
TCP,269,MANET Protocols
UDP,269,MANET Protocols
TCP,270,Reserved
UDP,270,Q-mode encapsulation for GIST messages
TCP,271,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)
UDP,271,Reserved
TCP,280,http-mgmt
UDP,280,http-mgmt
TCP,281,Personal Link
UDP,281,Personal Link
TCP,282,Cable Port A/X
UDP,282,Cable Port A/X
TCP,283,rescap
UDP,283,rescap
TCP,284,corerjd
UDP,284,corerjd
TCP,286,FXP Communication
UDP,286,FXP Communication
TCP,287,K-BLOCK
UDP,287,K-BLOCK
TCP,308,Novastor Backup
UDP,308,Novastor Backup
TCP,309,EntrustTime
UDP,309,EntrustTime
TCP,310,bhmds
UDP,310,bhmds
TCP,311,AppleShare IP WebAdmin
UDP,311,AppleShare IP WebAdmin
TCP,312,VSLMP
UDP,312,VSLMP
TCP,313,Magenta Logic
UDP,313,Magenta Logic
TCP,314,Opalis Robot
UDP,314,Opalis Robot
TCP,315,DPSI
UDP,315,DPSI
TCP,316,decAuth
UDP,316,decAuth
TCP,317,Zannet
UDP,317,Zannet
TCP,318,PKIX TimeStamp
UDP,318,PKIX TimeStamp
TCP,319,PTP Event
UDP,319,PTP Event
TCP,320,PTP General
UDP,320,PTP General
TCP,321,PIP
UDP,321,PIP
TCP,322,RTSPS
UDP,322,RTSPS
TCP,323,Resource PKI to Router Protocol
UDP,323,Reserved
TCP,324,Resource PKI to Router Protocol over TLS
UDP,324,Reserved
TCP,333,Texar Security Port
UDP,333,Texar Security Port
TCP,344,Prospero Data Access Protocol
UDP,344,Prospero Data Access Protocol
TCP,345,Perf Analysis Workbench
UDP,345,Perf Analysis Workbench
TCP,346,Zebra server
UDP,346,Zebra server
TCP,347,Fatmen Server
UDP,347,Fatmen Server
TCP,348,Cabletron Management Protocol
UDP,348,Cabletron Management Protocol
TCP,349,mftp
UDP,349,mftp
TCP,350,MATIP Type A
UDP,350,MATIP Type A
TCP,351,bhoetty
UDP,351,bhoetty
TCP,352,bhoedap4
UDP,352,bhoedap4
TCP,353,NDSAUTH
UDP,353,NDSAUTH
TCP,354,bh611
UDP,354,bh611
TCP,355,DATEX-ASN
UDP,355,DATEX-ASN
TCP,356,Cloanto Net 1
UDP,356,Cloanto Net 1
TCP,357,bhevent
UDP,357,bhevent
TCP,358,Shrinkwrap
UDP,358,Shrinkwrap
TCP,359,Reserved
UDP,359,Reserved
TCP,360,scoi2odialog
UDP,360,scoi2odialog
TCP,361,Semantix
UDP,361,Semantix
TCP,362,SRS Send
UDP,362,SRS Send
TCP,363,RSVP Tunnel
UDP,363,RSVP Tunnel
TCP,364,Aurora CMGR
UDP,364,Aurora CMGR
TCP,365,DTK
UDP,365,DTK
TCP,366,ODMR
UDP,366,ODMR
TCP,367,MortgageWare
UDP,367,MortgageWare
TCP,368,QbikGDP
UDP,368,QbikGDP
TCP,369,rpc2portmap
UDP,369,rpc2portmap
TCP,370,codaauth2
UDP,370,codaauth2
TCP,371,Clearcase
UDP,371,Clearcase
TCP,372,ListProcessor
UDP,372,ListProcessor
TCP,373,Legent Corporation
UDP,373,Legent Corporation
TCP,374,Legent Corporation
UDP,374,Legent Corporation
TCP,375,Hassle
UDP,375,Hassle
TCP,376,Amiga Envoy Network Inquiry Protocol
UDP,376,Amiga Envoy Network Inquiry Protocol
TCP,377,NEC Corporation
UDP,377,NEC Corporation
TCP,378,NEC Corporation
UDP,378,NEC Corporation
TCP,379,TIA/EIA/IS-99 modem client
UDP,379,TIA/EIA/IS-99 modem client
TCP,380,TIA/EIA/IS-99 modem server
UDP,380,TIA/EIA/IS-99 modem server
TCP,381,hp performance data collector
UDP,381,hp performance data collector
TCP,382,hp performance data managed node
UDP,382,hp performance data managed node
TCP,383,hp performance data alarm manager
UDP,383,hp performance data alarm manager
TCP,384,A Remote Network Server System
UDP,384,A Remote Network Server System
TCP,385,IBM Application
UDP,385,IBM Application
TCP,386,ASA Message Router Object Def.
UDP,386,ASA Message Router Object Def.
TCP,387,Appletalk Update-Based Routing Pro.
UDP,387,Appletalk Update-Based Routing Pro.
TCP,388,Unidata LDM
UDP,388,Unidata LDM
TCP,389,Lightweight Directory Access Protocol
UDP,389,Lightweight Directory Access Protocol
TCP,390,UIS
UDP,390,UIS
TCP,391,SynOptics SNMP Relay Port
UDP,391,SynOptics SNMP Relay Port
TCP,392,SynOptics Port Broker Port
UDP,392,SynOptics Port Broker Port
TCP,393,Meta5
UDP,393,Meta5
TCP,394,EMBL Nucleic Data Transfer
UDP,394,EMBL Nucleic Data Transfer
TCP,395,NetScout Control Protocol
UDP,395,NetScout Control Protocol
TCP,396,Novell Netware over IP
UDP,396,Novell Netware over IP
TCP,397,Multi Protocol Trans. Net.
UDP,397,Multi Protocol Trans. Net.
TCP,398,Kryptolan
UDP,398,Kryptolan
TCP,399,ISO Transport Class 2 Non-Control over TCP
UDP,399,ISO Transport Class 2 Non-Control over UDP
TCP,400,Oracle Secure Backup
UDP,400,Oracle Secure Backup
TCP,401,Uninterruptible Power Supply
UDP,401,Uninterruptible Power Supply
TCP,402,Genie Protocol
UDP,402,Genie Protocol
TCP,403,decap
UDP,403,decap
TCP,404,nced
UDP,404,nced
TCP,405,ncld
UDP,405,ncld
TCP,406,Interactive Mail Support Protocol
UDP,406,Interactive Mail Support Protocol
TCP,407,Timbuktu
UDP,407,Timbuktu
TCP,408,Prospero Resource Manager Sys. Man.
UDP,408,Prospero Resource Manager Sys. Man.
TCP,409,Prospero Resource Manager Node Man.
UDP,409,Prospero Resource Manager Node Man.
TCP,410,DECLadebug Remote Debug Protocol
UDP,410,DECLadebug Remote Debug Protocol
TCP,411,Remote MT Protocol
UDP,411,Remote MT Protocol
TCP,412,Trap Convention Port
UDP,412,Trap Convention Port
TCP,413,Storage Management Services Protocol
UDP,413,Storage Management Services Protocol
TCP,414,InfoSeek
UDP,414,InfoSeek
TCP,415,BNet
UDP,415,BNet
TCP,416,Silverplatter
UDP,416,Silverplatter
TCP,417,Onmux
UDP,417,Onmux
TCP,418,Hyper-G
UDP,418,Hyper-G
TCP,419,Ariel 1
UDP,419,Ariel 1
TCP,420,SMPTE
UDP,420,SMPTE
TCP,421,Ariel 2
UDP,421,Ariel 2
TCP,422,Ariel 3
UDP,422,Ariel 3
TCP,423,IBM Operations Planning and Control Start
UDP,423,IBM Operations Planning and Control Start
TCP,424,IBM Operations Planning and Control Track
UDP,424,IBM Operations Planning and Control Track
TCP,425,ICAD
UDP,425,ICAD
TCP,426,smartsdp
UDP,426,smartsdp
TCP,427,Server Location
UDP,427,Server Location
TCP,428,OCS_CMU
UDP,428,OCS_CMU
TCP,429,OCS_AMU
UDP,429,OCS_AMU
TCP,430,UTMPSD
UDP,430,UTMPSD
TCP,431,UTMPCD
UDP,431,UTMPCD
TCP,432,IASD
UDP,432,IASD
TCP,433,NNTP for transit servers (NNSP)
UDP,433,NNTP for transit servers (NNSP)
TCP,434,MobileIP-Agent
UDP,434,MobileIP-Agent
TCP,435,MobilIP-MN
UDP,435,MobilIP-MN
TCP,436,DNA-CML
UDP,436,DNA-CML
TCP,437,comscm
UDP,437,comscm
TCP,438,dsfgw
UDP,438,dsfgw
TCP,439,dasp
UDP,439,dasp
TCP,440,sgcp
UDP,440,sgcp
TCP,441,decvms-sysmgt
UDP,441,decvms-sysmgt
TCP,442,cvc_hostd
UDP,442,cvc_hostd
TCP,443,http protocol over TLS/SSL
UDP,443,http protocol over TLS/SSL
SCTP,443,HTTPS
TCP,444,Simple Network Paging Protocol
UDP,444,Simple Network Paging Protocol
TCP,445,Microsoft-DS
UDP,445,Microsoft-DS
TCP,446,DDM-Remote Relational Database Access
UDP,446,DDM-Remote Relational Database Access
TCP,447,DDM-Distributed File Management
UDP,447,DDM-Distributed File Management
TCP,448,DDM-Remote DB Access Using Secure Sockets
UDP,448,DDM-Remote DB Access Using Secure Sockets
TCP,449,AS Server Mapper
UDP,449,AS Server Mapper
TCP,450,Computer Supported Telecomunication Applications
UDP,450,Computer Supported Telecomunication Applications
TCP,451,Cray Network Semaphore server
UDP,451,Cray Network Semaphore server
TCP,452,Cray SFS config server
UDP,452,Cray SFS config server
TCP,453,CreativeServer
UDP,453,CreativeServer
TCP,454,ContentServer
UDP,454,ContentServer
TCP,455,CreativePartnr
UDP,455,CreativePartnr
TCP,456,macon-tcp
UDP,456,macon-udp
TCP,457,scohelp
UDP,457,scohelp
TCP,458,apple quick time
UDP,458,apple quick time
TCP,459,ampr-rcmd
UDP,459,ampr-rcmd
TCP,460,skronk
UDP,460,skronk
TCP,461,DataRampSrv
UDP,461,DataRampSrv
TCP,462,DataRampSrvSec
UDP,462,DataRampSrvSec
TCP,463,alpes
UDP,463,alpes
TCP,464,kpasswd
UDP,464,kpasswd
TCP,465,Message Submission over TLS protocol
UDP,465,IGMP over UDP for SSM
TCP,466,digital-vrc
UDP,466,digital-vrc
TCP,467,mylex-mapd
UDP,467,mylex-mapd
TCP,468,proturis
UDP,468,proturis
TCP,469,Radio Control Protocol
UDP,469,Radio Control Protocol
TCP,470,scx-proxy
UDP,470,scx-proxy
TCP,471,Mondex
UDP,471,Mondex
TCP,472,ljk-login
UDP,472,ljk-login
TCP,473,hybrid-pop
UDP,473,hybrid-pop
TCP,474,tn-tl-w1
UDP,474,tn-tl-w2
TCP,475,tcpnethaspsrv
UDP,475,tcpnethaspsrv
TCP,476,tn-tl-fd1
UDP,476,tn-tl-fd1
TCP,477,ss7ns
UDP,477,ss7ns
TCP,478,spsc
UDP,478,spsc
TCP,479,iafserver
UDP,479,iafserver
TCP,480,iafdbase
UDP,480,iafdbase
TCP,481,Ph service
UDP,481,Ph service
TCP,482,bgs-nsi
UDP,482,bgs-nsi
TCP,483,ulpnet
UDP,483,ulpnet
TCP,484,Integra Software Management Environment
UDP,484,Integra Software Management Environment
TCP,485,Air Soft Power Burst
UDP,485,Air Soft Power Burst
TCP,486,avian
UDP,486,avian
TCP,487,saft Simple Asynchronous File Transfer
UDP,487,saft Simple Asynchronous File Transfer
TCP,488,gss-http
UDP,488,gss-http
TCP,489,nest-protocol
UDP,489,nest-protocol
TCP,490,micom-pfs
UDP,490,micom-pfs
TCP,491,go-login
UDP,491,go-login
TCP,492,Transport Independent Convergence for FNA
UDP,492,Transport Independent Convergence for FNA
TCP,493,Transport Independent Convergence for FNA
UDP,493,Transport Independent Convergence for FNA
TCP,494,POV-Ray
UDP,494,POV-Ray
TCP,495,intecourier
UDP,495,intecourier
TCP,496,PIM-RP-DISC
UDP,496,PIM-RP-DISC
TCP,497,Retrospect backup and restore service
UDP,497,Retrospect backup and restore service
TCP,498,siam
UDP,498,siam
TCP,499,ISO ILL Protocol
UDP,499,ISO ILL Protocol
TCP,500,isakmp
UDP,500,isakmp
TCP,501,STMF
UDP,501,STMF
TCP,502,Modbus Application Protocol
UDP,502,Modbus Application Protocol
TCP,503,Intrinsa
UDP,503,Intrinsa
TCP,504,citadel
UDP,504,citadel
TCP,505,mailbox-lm
UDP,505,mailbox-lm
TCP,506,ohimsrv
UDP,506,ohimsrv
TCP,507,crs
UDP,507,crs
TCP,508,xvttp
UDP,508,xvttp
TCP,509,snare
UDP,509,snare
TCP,510,FirstClass Protocol
UDP,510,FirstClass Protocol
TCP,511,PassGo
UDP,511,PassGo
TCP,512,remote process execution; authentication performed using passwords and UNIX login names
UDP,512,used by mail system to notify users of new mail received; currently receives messages only from processes on the same machine
TCP,513,"""remote login a la telnet; automatic authentication performed based on priviledged port numbers and distributed data bases which identify """"authentication domains"""""""
UDP,513,maintains data bases showing who's logged in to machines on a local net and the load average of the machine
TCP,514,"""cmd like exec"
TCP,515,spooler
UDP,515,spooler
TCP,516,videotex
UDP,516,videotex
TCP,517,"""like tenex link"
UDP,517,"""like tenex link"
TCP,519,unixtime
UDP,519,unixtime
TCP,520,extended file name server
UDP,520,local routing process (on site); uses variant of Xerox NS routing information protocol - RIP
TCP,521,ripng
UDP,521,ripng
TCP,522,ULP
UDP,522,ULP
TCP,523,IBM-DB2
UDP,523,IBM-DB2
TCP,524,NCP
UDP,524,NCP
TCP,525,timeserver
UDP,525,timeserver
TCP,526,newdate
UDP,526,newdate
TCP,527,Stock IXChange
UDP,527,Stock IXChange
TCP,528,Customer IXChange
UDP,528,Customer IXChange
TCP,529,IRC-SERV
UDP,529,IRC-SERV
TCP,530,rpc
UDP,530,rpc
TCP,531,chat
UDP,531,chat
TCP,532,readnews
UDP,532,readnews
TCP,533,for emergency broadcasts
UDP,533,for emergency broadcasts
TCP,534,windream Admin
UDP,534,windream Admin
TCP,535,iiop
UDP,535,iiop
TCP,536,opalis-rdv
UDP,536,opalis-rdv
TCP,537,Networked Media Streaming Protocol
UDP,537,Networked Media Streaming Protocol
TCP,538,gdomap
UDP,538,gdomap
TCP,539,Apertus Technologies Load Determination
UDP,539,Apertus Technologies Load Determination
TCP,540,uucpd
UDP,540,uucpd
TCP,541,uucp-rlogin
UDP,541,uucp-rlogin
